Primary Key,Order Date,Manufacturer,Product Category,Complaint,Part Description,Cost_Numeric,Actual Hours,Year
SO0005588-1,2022-04-30,PASEIH,APPL,"No cab heat, temp gauge dont get to operating temp.",NO.1-15W40 CJ4QT,96.1999,6.3798,2022
SO0005907-1,2022-04-30,PASEIH,APPL,"No cab heat, temp gauge dont get to operating temp.",FLUID,22.68,6.3798,2022
SO0006100-1,2022-04-30,PASEIH,APPL,"No cab heat, temp gauge dont get to operating temp.",ACTIFUL OT PREMIX,78.3,6.3798,2022
SO0006642-1,2022-04-30,PASEIH,APPL,"No cab heat, temp gauge dont get to operating temp.",FILTER  ENGINE OIL,99.79,6.3798,2022
SO0018457-1,2022-04-30,PASEIH,APPL,"No cab heat, temp gauge dont get to operating temp.",LOCTITE,5.5099,6.3798,2022
SO0018457-2,2022-05-09,PASEIH,APPL,Alternator not charging.,REMAN-ALTERNATOR - CORE,-40.0,3.68,2022
SO0018457-2,2022-05-09,PASEIH,APPL,Alternator not charging.,REMAN-ALTERNATOR - CORE,-40.0,3.68,2022
SO0018596-10,2022-05-25,PASEIH,APPL,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,ACTIFUL OT PREMIX,168.8199,60.06960000000001,2022
SO0018596-11,2022-05-25,PASEIH,APPL,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,BELT,47.56,60.06960000000001,2022
SO0018596-12,2022-05-25,PASEIH,APPL,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,FILTER  ELEMENT,120.2,60.06960000000001,2022
SO0018596-13,2022-05-25,PASEIH,APPL,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,HOSE,170.31,60.06960000000001,2022
SO0018596-3,2022-05-09,PASEIH,APPL,Alternator not charging.,REMAN-ALTERNATOR,345.8299,3.68,2022
SO0018596-4,2022-05-12,PASEIH,APPL,Having fan belt issues,TENSIONER  BELT,153.3,2.2199999999999998,2022
SO0018596-5,2022-05-12,PASEIH,APPL,Having fan belt issues,BULK HYTRAN/SHOP,2.54,2.2199999999999998,2022
SO0018596-6,2022-05-25,PASEIH,APPL,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,O-RING,0.94,60.06960000000001,2022
SO0020073-1,2022-05-25,PASEIH,APPL,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,HOSE,93.75,60.06960000000001,2022
SO0020073-2,2022-05-25,PASEIH,APPL,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,MOBIL DELVAC SYN AFT,81.7,60.06960000000001,2022
SO0020073-6,2022-05-25,PASEIH,APPL,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,LATCH,44.73,60.06960000000001,2022
SO0020073-7,2022-05-25,PASEIH,APPL,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,TENSIONER,240.12,60.06960000000001,2022
SO0020529-2,2022-05-25,PASEIH,APPL,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,3/8 FUEL HOSE,11.27,60.06960000000001,2022
SO0022590-3,2022-05-25,PASEIH,APPL,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,BRAKE CLEANER,9.79,60.06960000000001,2022
SO0023561-1,2022-05-25,PASEIH,APPL,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,REMAN ENGINE,28636.33,60.06960000000001,2022
SO0023561-3,2022-05-25,PASEIH,APPL,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,REMAN ENGINE,-3000.0,60.06960000000001,2022
SO0023561-4,2022-05-25,PASEIH,APPL,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,CLAMP,34.8,60.06960000000001,2022
SO0024239-1,2022-05-25,PASEIH,APPL,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,BOLT  FLANGE,2.6099,60.06960000000001,2022
SO0024239-2,2022-05-25,PASEIH,APPL,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,O-RING,5.5499,60.06960000000001,2022
SO0024239-4,2022-05-25,PASEIH,APPL,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,PAG OIL SINGLE,19.8,60.06960000000001,2022
SO0024736-7,2022-05-25,PASEIH,APPL,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,O-RING,1.62,60.06960000000001,2022
SO0024736-8,2022-05-25,PASEIH,APPL,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,O-RING,2.3999,60.06960000000001,2022
SO0024736-9,2022-05-25,PASEIH,APPL,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,NO.1-15W40 CJ4QT,65.0,60.06960000000001,2022
SO0024816-1,2022-05-25,PASEIH,APPL,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,GASKET,5.99,60.06960000000001,2022
SO0024816-15,2022-05-25,PASEIH,APPL,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,FILTER RECEIVERDRYER,41.8999,60.06960000000001,2022
SO0024816-16,2022-05-25,PASEIH,APPL,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,BELT TENSIONER,129.0,60.06960000000001,2022
SO0024816-17,2022-05-25,PASEIH,APPL,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,TENSIONER  BELT,0.0,60.06960000000001,2022
SO0024816-19,2022-05-25,PASEIH,APPL,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,"WASHER,SEALING",1.7198,60.06960000000001,2022
SO0024816-2,2022-05-25,PASEIH,APPL,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,HOSE,192.2,60.06960000000001,2022
SO0024816-3,2022-05-25,PASEIH,APPL,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,REMAN-A/C COMPRESSOR,317.18,60.06960000000001,2022
SO0024905-2,2022-05-25,PASEIH,APPL,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,BELT,28.9499,60.06960000000001,2022
