Primary Key,Order No,Order Date,Manufacturer,Product Category,Model Year,Serial Number,Complaint,Correction,Failure Condition - Failure Component,Fix Condition - Fix Component,Complaint_Clean,Correction_Clean,Order No,Part Manufacturer,Part Description,Revenue,Actual Hours,Cost,Cost_Per_Hour,Year,Month
SO0005588-1,SO0005588,2022-04-30,PASEIH,APPL,0,YFT042399,"No cab heat, temp gauge dont get to operating temp.","Als ich das Gerät in die Werkstatt fuhr, stieg die Temperaturanzeige deutlich über 200 Grad. Es wurde festgestellt, dass das Gerät extrem wenig Frostschutzmittel hatte, ich habe 6 Gallonen hinzugefügt, um den richtigen Stand zu erreichen. Überprüfen Sie das Motoröl, um festzustellen, ob Frostschutzmittel austritt. Gefunden t","No Heat - Cab, Not Achieving - Gauge",No Component Mentioned - Added,"No cab heat, temp gauge dont get to operating temp.","Als ich das Gerät in die Werkstatt fuhr, stieg die Temperaturanzeige deutlich über 200 Grad. Es wurde festgestellt, dass das Gerät extrem wenig Frostschutzmittel hatte, ich habe 6 Gallonen hinzugefügt, um den richtigen Stand zu erreichen. Überprüfen Sie das Motoröl, um festzustellen, ob Frostschutzmittel austritt. Gefunden t",SO0005588,PASE,NO.1-15W40 CJ4QT,127.2799,6.3798,96.1999,14.846121793882528,2022,4
SO0005907-1,SO0005907,2022-04-30,PASEIH,APPL,0,YFT042399,"No cab heat, temp gauge dont get to operating temp.","Als ich das Gerät in die Werkstatt fuhr, stieg die Temperaturanzeige deutlich über 200 Grad. Es wurde festgestellt, dass das Gerät extrem wenig Frostschutzmittel hatte, ich habe 6 Gallonen hinzugefügt, um den richtigen Stand zu erreichen. Überprüfen Sie das Motoröl, um festzustellen, ob Frostschutzmittel austritt. Gefunden t","No Heat - Cab, Not Achieving - Gauge",No Component Mentioned - Added,"No cab heat, temp gauge dont get to operating temp.","Als ich das Gerät in die Werkstatt fuhr, stieg die Temperaturanzeige deutlich über 200 Grad. Es wurde festgestellt, dass das Gerät extrem wenig Frostschutzmittel hatte, ich habe 6 Gallonen hinzugefügt, um den richtigen Stand zu erreichen. Überprüfen Sie das Motoröl, um festzustellen, ob Frostschutzmittel austritt. Gefunden t",SO0005907,PASE,FLUID,30.0,6.3798,22.68,3.500108028025556,2022,4
SO0006100-1,SO0006100,2022-04-30,PASEIH,APPL,0,YFT042399,"No cab heat, temp gauge dont get to operating temp.","Als ich das Gerät in die Werkstatt fuhr, stieg die Temperaturanzeige deutlich über 200 Grad. Es wurde festgestellt, dass das Gerät extrem wenig Frostschutzmittel hatte, ich habe 6 Gallonen hinzugefügt, um den richtigen Stand zu erreichen. Überprüfen Sie das Motoröl, um festzustellen, ob Frostschutzmittel austritt. Gefunden t",Not Charging - Alternator,No Component Mentioned - No Component Mentioned,"No cab heat, temp gauge dont get to operating temp.","Als ich das Gerät in die Werkstatt fuhr, stieg die Temperaturanzeige deutlich über 200 Grad. Es wurde festgestellt, dass das Gerät extrem wenig Frostschutzmittel hatte, ich habe 6 Gallonen hinzugefügt, um den richtigen Stand zu erreichen. Überprüfen Sie das Motoröl, um festzustellen, ob Frostschutzmittel austritt. Gefunden t",SO0006100,PASE,ACTIFUL OT PREMIX,126.0,6.3798,78.3,12.083706287231086,2022,4
SO0006642-1,SO0006642,2022-04-30,PASEIH,APPL,0,YFT042399,"No cab heat, temp gauge dont get to operating temp.","Als ich das Gerät in die Werkstatt fuhr, stieg die Temperaturanzeige deutlich über 200 Grad. Es wurde festgestellt, dass das Gerät extrem wenig Frostschutzmittel hatte, ich habe 6 Gallonen hinzugefügt, um den richtigen Stand zu erreichen. Überprüfen Sie das Motoröl, um festzustellen, ob Frostschutzmittel austritt. Gefunden t",Faulty - Fan,"Tensioner - Removed, Crankshaft Pulley - Cleaned","No cab heat, temp gauge dont get to operating temp.","Als ich das Gerät in die Werkstatt fuhr, stieg die Temperaturanzeige deutlich über 200 Grad. Es wurde festgestellt, dass das Gerät extrem wenig Frostschutzmittel hatte, ich habe 6 Gallonen hinzugefügt, um den richtigen Stand zu erreichen. Überprüfen Sie das Motoröl, um festzustellen, ob Frostschutzmittel austritt. Gefunden t",SO0006642,PASE,FILTER  ENGINE OIL,157.5,6.3798,99.79,15.40016667181086,2022,4
SO0018457-1,SO0018457,2022-04-30,PASEIH,APPL,0,YFT042399,"No cab heat, temp gauge dont get to operating temp.","Als ich das Gerät in die Werkstatt fuhr, stieg die Temperaturanzeige deutlich über 200 Grad. Es wurde festgestellt, dass das Gerät extrem wenig Frostschutzmittel hatte, ich habe 6 Gallonen hinzugefügt, um den richtigen Stand zu erreichen. Überprüfen Sie das Motoröl, um festzustellen, ob Frostschutzmittel austritt. Gefunden t",Oil Loss - Not Mentioned,No Component Mentioned - No Component Mentioned,"No cab heat, temp gauge dont get to operating temp.","Als ich das Gerät in die Werkstatt fuhr, stieg die Temperaturanzeige deutlich über 200 Grad. Es wurde festgestellt, dass das Gerät extrem wenig Frostschutzmittel hatte, ich habe 6 Gallonen hinzugefügt, um den richtigen Stand zu erreichen. Überprüfen Sie das Motoröl, um festzustellen, ob Frostschutzmittel austritt. Gefunden t",SO0018457,PASE,LOCTITE,7.5499,6.3798,5.5099,0.8503194543041452,2022,4
SO0018457-2,SO0018457,2022-05-09,PASEIH,APPL,0,YFT042399,Alternator not charging.,"Anschlüsse zur Lichtmaschine gereinigt. Überprüfen Sie, ob das Chassis gut geerdet ist. Spannung am Erregerkabel überprüft. Wenn man die serienmäßige Verkabelung mit einem Satz Überbrückungskabeln umging und die Lichtmaschine manuell erregte, ließ sie sich immer noch nicht laden","Unavailable - Suspension, Unavailable - Axle","Fuse - Replaced, VT - Cleared Fault, VT - Reinitiated",Alternator not charging.,"Anschlüsse zur Lichtmaschine gereinigt. Überprüfen Sie, ob das Chassis gut geerdet ist. Spannung am Erregerkabel überprüft. Wenn man die serienmäßige Verkabelung mit einem Satz Überbrückungskabeln umging und die Lichtmaschine manuell erregte, ließ sie sich immer noch nicht laden",SO0018457,PASE,REMAN-ALTERNATOR - CORE,-40.0,3.68,-40.0,-10.58201058201058,2022,5
SO0018457-2,SO0018457,2022-05-09,PASEIH,APPL,0,YFT042399,Alternator not charging.,"Anschlüsse zur Lichtmaschine gereinigt. Überprüfen Sie, ob das Chassis gut geerdet ist. Spannung am Erregerkabel überprüft. Wenn man die serienmäßige Verkabelung mit einem Satz Überbrückungskabeln umging und die Lichtmaschine manuell erregte, ließ sie sich immer noch nicht laden","Unavailable - Suspension, Unavailable - Axle","Fuse - Replaced, VT - Cleared Fault, VT - Reinitiated",Alternator not charging.,"Anschlüsse zur Lichtmaschine gereinigt. Überprüfen Sie, ob das Chassis gut geerdet ist. Spannung am Erregerkabel überprüft. Wenn man die serienmäßige Verkabelung mit einem Satz Überbrückungskabeln umging und die Lichtmaschine manuell erregte, ließ sie sich immer noch nicht laden",SO0018457,PASE,REMAN-ALTERNATOR - CORE,-40.0,3.68,-40.0,-10.58201058201058,2022,5
SO0018596-10,SO0018596,2022-05-25,PASEIH,APPL,0,YFT042399,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT",Not Mentioned - No Component Mentioned,"Bolt - Replaced, Thread - Cleaned, No Component Mentioned - Installed, No Component Mentioned - Retightened",Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT",SO0018596,PASE,ACTIFUL OT PREMIX,264.0,60.06960000000001,168.8199,2.80573412487369,2022,5
SO0018596-11,SO0018596,2022-05-25,PASEIH,APPL,0,YFT042399,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT","Missed - No Component Mentioned, Missed - No Component Mentioned",No Component Mentioned - Installed,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT",SO0018596,PASE,BELT,79.75,60.06960000000001,47.56,0.7904323778120512,2022,5
SO0018596-12,SO0018596,2022-05-25,PASEIH,APPL,0,YFT042399,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT",Leak - Coupler,"Coupler - Replaced, Machine - Tested",Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT",SO0018596,PASE,FILTER  ELEMENT,192.0,60.06960000000001,120.2,1.9976865393820131,2022,5
